tis  4 aug 2009 17.48.31 CEST

Summary of timings                                                   |  Average time  Total time  Reps
------------------------------------------------------------------------------------------------------
Assemble cells                                                       |          0.49        0.49     1
Build sparsity                                                       |           4.2         4.2     1
Delete sparsity                                                      |             0           0     1
Init tensor                                                          |          1.89        1.89     1
MAIN 0 create mesh                                                   |          2.17        2.17     1
MAIN 1 create function space (not used)                              |             0           0     1
MAIN 2 define variational problem                                    |             0           0     1
MAIN 3 assemble                                                      |          7.87        7.87     1
PARALLEL 0: Parse local mesh data, including geometric partitioning  |          0.99        0.99     1
PARALLEL 1: Compute partition (calling ParMETIS)                     |          0.25        0.25     1
PARALLEL 2: Distribute mesh (cells and vertices)                     |          0.08        0.16     2
PARALLEL 3: Renumber mesh entities                                   |          0.83        0.83     1
