tis  4 aug 2009 17.47.27 CEST

Summary of timings                                |  Average time  Total time  Reps
-----------------------------------------------------------------------------------
Assemble cells                                    |          0.54        0.54     1
Build sparsity                                    |          2.04        2.04     1
Delete sparsity                                   |          0.16        0.16     1
Init tensor                                       |          0.18        0.18     1
MAIN 0: create mesh                               |          2.66        2.66     1
MAIN 1: create function space                     |          0.26        0.26     1
MAIN 2: define variational problem                |             0           0     1
MAIN 3: assemble                                  |           4.2         4.2     1
PARALLEL 0: Parse local mesh data                 |          1.46        1.46     1
PARALLEL 1: Compute partition (calling ParMETIS)  |          0.41        0.41     1
PARALLEL 2: Distribute mesh (cells and vertices)  |           0.1         0.1     1
PARALLEL 3: Build mesh (from local mesh data)     |          0.68        0.68     1
PARALLEL x: Number mesh entities                  |          0.26        0.26     1
